time,round,test_loss,test_acc,clients_selected
2025-10-14T19:22:41.006141,9,1.4765715927124023,46.050000000000004,"9,10,15,17,24,29,34,38,40,46,60,61"
2025-10-14T19:23:21.054665,10,1.4719355808258057,43.81,"2,3,14,20,28,43,49,51,52,53,59,61"
2025-10-14T19:24:00.707386,11,1.3793442657470703,49.61,"4,13,17,20,31,36,41,45,51,56,58,60"
2025-10-14T19:24:40.468404,12,1.457855603981018,46.87,"8,9,15,16,29,34,35,41,47,50,56,58"
2025-10-14T19:25:22.267185,13,1.5174418048858642,44.85,"8,14,23,25,27,31,32,33,37,47,57,61"
2025-10-14T19:26:02.260848,14,1.3372502424240111,52.16,"3,7,9,10,11,27,38,40,43,48,50,55"
2025-10-14T19:26:42.494516,15,1.3615378129959106,50.56,"0,8,16,24,29,33,35,38,43,46,55,62"
2025-10-14T19:27:22.433316,16,1.1877581115722655,57.230000000000004,"7,14,17,18,21,27,34,41,43,48,49,56"
2025-10-14T19:28:01.633463,17,1.1661967439651488,57.92,"0,6,11,16,20,29,32,46,48,56,59,60"
2025-10-14T19:28:40.805710,18,1.1484066623687743,59.36,"9,10,12,23,32,34,38,40,48,49,53,63"
2025-10-14T19:29:21.179898,19,1.0606799976348877,62.129999999999995,"0,1,7,15,19,20,23,31,38,51,53,56"
2025-10-14T19:30:01.563282,20,1.0223591960906981,63.839999999999996,"4,5,7,15,31,34,36,46,48,52,56,59"
2025-10-14T19:30:40.843552,21,0.9781466223716736,65.25,"8,10,13,16,27,30,33,35,38,42,55,63"
2025-10-14T19:31:20.625089,22,0.9617710801124573,65.31,"7,15,19,23,25,28,33,41,42,45,56,63"
2025-10-14T19:32:01.447295,23,0.9255664098739624,67.21000000000001,"0,1,4,14,21,28,35,37,45,57,59,62"
2025-10-14T19:32:41.400928,24,1.038723215484619,63.480000000000004,"2,4,7,14,15,17,21,32,42,55,57,61"
2025-10-14T19:33:22.189577,25,0.8578554314613343,69.57,"8,13,15,30,34,36,46,50,55,56,57,62"
2025-10-14T19:34:02.335736,26,0.908881335067749,68.27,"3,6,12,22,26,27,29,42,46,52,58,61"
2025-10-14T19:34:43.351395,27,0.8214144879341125,70.78999999999999,"3,6,12,15,21,25,34,46,51,54,55,63"
